2022-05-07 22:44:42,089 [MainThread  ] [INFO ]  Evaluations: 1. fitness: [107772232.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:10:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:42,092 [MainThread  ] [INFO ]  Evaluations: 1. fitness: [107772232.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:20:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:42,134 [MainThread  ] [INFO ]  Evaluations: 1. fitness: [109063741.58333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:50:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:42,140 [MainThread  ] [INFO ]  Evaluations: 1. fitness: [109063741.58333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:42,186 [MainThread  ] [INFO ]  Evaluations: 1. fitness: [109063741.58333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:20:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:42,199 [MainThread  ] [INFO ]  Evaluations: 1. fitness: [109295351.33333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:00:00', '17:50:00', '19:00:00', '20:50:00', '25:00:00']})
2022-05-07 22:44:42,205 [MainThread  ] [INFO ]  Evaluations: 1. fitness: [108082323.58333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '08:00:00', '09:00:00', '17:30:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:42,288 [MainThread  ] [INFO ]  Evaluations: 1. fitness: [106616927.08333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '07:50:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:42,305 [MainThread  ] [INFO ]  Evaluations: 1. fitness: [109063741.58333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:42,324 [MainThread  ] [INFO ]  Evaluations: 1. fitness: [109063741.58333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:42,339 [MainThread  ] [INFO ]  Evaluations: 1. fitness: [109063741.58333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:42,342 [MainThread  ] [INFO ]  Evaluations: 1. fitness: [108341003.58333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:42,364 [MainThread  ] [INFO ]  Evaluations: 1. fitness: [109063741.58333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:42,944 [MainThread  ] [INFO ]  Evaluations: 2. fitness: [107772232.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:10:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:42,947 [MainThread  ] [INFO ]  Evaluations: 2. fitness: [107772232.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:20:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:42,997 [MainThread  ] [INFO ]  Evaluations: 2. fitness: [109063741.58333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:50:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:43,008 [MainThread  ] [INFO ]  Evaluations: 2. fitness: [108817163.08333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:00:00', '17:20:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:43,040 [MainThread  ] [INFO ]  Evaluations: 2. fitness: [109248528.33333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:20:00', '17:50:00', '19:00:00', '20:40:00', '25:00:00']})
2022-05-07 22:44:43,054 [MainThread  ] [INFO ]  Evaluations: 2. fitness: [109063741.58333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:20:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:43,056 [MainThread  ] [INFO ]  Evaluations: 2. fitness: [108082323.58333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '08:00:00', '09:00:00', '17:30:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:43,146 [MainThread  ] [INFO ]  Evaluations: 2. fitness: [106616927.08333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '07:50:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:43,167 [MainThread  ] [INFO ]  Evaluations: 2. fitness: [108051538.58333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '08:00:00', '09:00:00', '17:10:00', '19:00:00', '20:20:00', '25:00:00']})
2022-05-07 22:44:43,178 [MainThread  ] [INFO ]  Evaluations: 2. fitness: [109063741.58333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:43,219 [MainThread  ] [INFO ]  Evaluations: 2. fitness: [109063741.58333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:43,224 [MainThread  ] [INFO ]  Evaluations: 2. fitness: [108817163.08333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:00:00', '17:20:00', '19:00:00', '20:00:00', '25:00:00']})
